sequence,description,coordinates,address,district,fixa,ocr,ptz,facial,poste novo,localização,realocação
35,Parque Bodocongó,https://goo.gl/maps/Ly3N2yHakcS9y6s57,"Av. Juvêncio Arruda, Bodocongó - 58430-800",Bodocongó,2,,,,,,
36,Parque Bodocongó,https://goo.gl/maps/g1Ms8CcyaAnuXuNu6,"Av. Juvêncio Arruda, Bodocongó - 58430-800",Bodocongó,3,,,,,,
37,Parque Bodocongó,https://goo.gl/maps/iT4RftPe1MUkKc3x6,"Av. Juvêncio Arruda, Bodocongó - 58430-800",Bodocongó,4,,1,,,,
38,Parque Bodocongó,https://goo.gl/maps/PbPLerbpNUrrqR8s8,"Av. Juvêncio Arruda, Bodocongó - 58430-800",Bodocongó,2,,1,,,,
39,Parque Bodocongo,https://goo.gl/maps/1nH7S2K9zX7YAqQ99,"Av. Juvêncio Arruda, Bodocongó - 58430-800",Bodocongó,2,,,,,,
40,Posto (UFCG),https://goo.gl/maps/PSzocgMruMffVzm37,"R. Aprígio Veloso, Bodocongó - 58429-160",Bodocongó,2,2,,,,,
41,Feira Severino Cabral,https://goo.gl/maps/sHPTtAWRp7zwBngMA,"R. João Sérgio de Almeida, Bodocongó - 58430-340",Bodocongó,2,,1,,,,
42,Posto Ipiranga (MOTEL XAVANTE),https://goo.gl/maps/rnMhbqt41nvpCpuv7,"R. Manoel Mota, Bodocongó - 58109-515",Bodocongó,2,1,,,,,
43,Parque Da Criança,https://goo.gl/maps/gDnbeWEx8rucEP2c8,"Av. Dr. Elpídio de Almeida, Catolé - 58410-215",Catolé,3,,,,,,
44,Parque da Criança,https://goo.gl/maps/wGWRfca55CZZ2FZcA,"Av. Dr. Elpídio de Almeida, Catolé - 58410-215",Catolé,3,,1,,,,
45,Parque da Criança,https://goo.gl/maps/QDpmvRGbRmUj5z2G7,"Av. Dr. Elpídio de Almeida, Catolé - 58410-215",Catolé,2,,,,,,
46,Parque da Criança,https://goo.gl/maps/vzmvo9T1FrtcgCQm7,"Av. Dr. Elpídio de Almeida, Catolé - 58410-215",Catolé,2,,1,,,,
47,Parque da Criança,https://goo.gl/maps/BKyWzhjeT8BRipWx6,"Av. Dr. Elpídio de Almeida, Catolé - 58410-215",Catolé,3,,,,,,
48,Parque da Criança,https://goo.gl/maps/4gkFPd3qdeDw4uhn7,"Av. Dr. Elpídio de Almeida, Catolé - 58410-215",Catolé,3,,,,,,
49,Parque da Criança,https://goo.gl/maps/mKENVUH69fw1TUSPA,"Av. Dr. Elpídio de Almeida, Catolé - 58410-215",Catolé,2,,1,,,,
50,Parque da Criança,https://goo.gl/maps/W3wob8gxnnfARy5k7,"Av. Dr. Elpídio de Almeida, Catolé - 58410-215",Catolé,3,,,,,,
51,Parque da Criança,https://goo.gl/maps/3dHkW2WBFukfJc8C8,"Av. Dr. Elpídio de Almeida, Catolé - 58410-215",Catolé,2,,,,,,
52,Parque da Criança,https://goo.gl/maps/gUTLvvtHtW8MrjFT7,"Av. Dr. Elpídio de Almeida, Catolé - 58410-215",Catolé,3,,,,,,
53,Lojão do Pará,https://goo.gl/maps/Xeu6fdJi1q5aadpo9,"Av. Dr. Elpídio de Almeida, Catolé - 58410-200",Catolé,3,1,,,,,
54,RedePharma Elpídio,https://goo.gl/maps/31oB3Yy8xRkUTKNw9,"R. João Quirino, Catolé - 58410-163",Catolé,,,,,,,
55,Hotel Belvedere - Açude Velho,https://goo.gl/maps/QJTNexvTzhZHUxCr5,"R. Paulo de Frontin, Catolé - 58410-105",Catolé,3,,1,,,,
56,Catolé do Ze Ferreira,https://goo.gl/maps/PFrDYwTVmCQdaJdK6,"R. Daniel Luís Rodrigues, Catolé de Zé Ferreira - 58420-060",Catolé,2,,,,,,
57,Açude Novo,https://goo.gl/maps/kTTYUmJCabJn1isPA,R. Dom Pedro II - Centro - 58400-565,Centro,3,,1,,,,
58,Açude Novo,https://goo.gl/maps/wqnxQdCJasiE5n6f6,R. Dom Pedro II - Centro - 58400-565,Centro,3,,1,,,,
59,Açude Novo,https://goo.gl/maps/vSRq2i3xzM2nZUPj9,R. Dom Pedro II - Centro - 58400-565,Centro,3,,1,,,,
60,Rodoviária Velha,https://goo.gl/maps/TXK86JFHUcsHWax48,"Praça Lauritzen, Centro - 58400-140",Centro,2,,,,,,
61,Rodoviária Velha 1,https://goo.gl/maps/vUKSsAAyrk2JQjGP8,"Praça Lauritzen, Centro - 58400-140",Centro,2,,,,,,
62,Rodoviária Velha 2,https://goo.gl/maps/5CR6p7pP2Z5igiAA6,"Praça Lauritzen, Centro - 58400-140",Centro,2,,,,,,
63,Integração 1,https://goo.gl/maps/aFFVtrPb1Nqu7Zop9,"R. Dom Pedro II, Centro - 58400-062",Centro,2,,,,,,
64,Integração 2,https://goo.gl/maps/hJwBXAPLnBMGHKHj7,"R. Dom Pedro II, Centro - 58400-062",Centro,2,,,,,,
65,Praça da Bandeira,https://goo.gl/maps/2uoW2todEypxhXPj9,"Praça da Bandeira, Centro - 58400-085",Centro,3,,1,,,,
66,Rodoviária velha,https://goo.gl/maps/yfuHjc9z7NQ7zdSg9,R. Cardoso Viêira - Centro - 58400-097,Centro,2,1,,,,,
67,Ótica Araújo Feirinha de Frutas,https://goo.gl/maps/AnNC8tZT48GYiTxw9,"R. Semeão Leal, Centro - 58400-093",Centro,2,,,,,,
68,Itaú,https://goo.gl/maps/aiMzxWAfucmbijij7,"R. Pres. Epitácio Pessoa, Centro - 58400-025",Centro,3,,,,,,
69,Almeida Veículos,https://goo.gl/maps/uM9LnmgMVQNLutr5A,"R. João Suassuna, Centro - 58400-036",Centro,2,,,,,,
70,Ciop - Batalhão,https://goo.gl/maps/EEs8xuUaeefvkRMS7,"R. Ver. Artur Vilarim, Centro - 58400-156",Centro,2,,,,,,
71,Brasil Atacado,https://goo.gl/maps/ax2pf2EAH5AXgQ9p7,"R. Pres. João Pessoa, Centro - 58400-261",Centro,2,,,,,,
72,Açude Velho Pioneiros,https://goo.gl/maps/JTEtb3bwUCqzTNw17,R. Paulo de Frontin Centro - CEP 58400-310,Centro,3,,1,,,,
73,Parque do Povo Açude Novo,https://goo.gl/maps/BDcHg7fW9GiHwZDS7,"R. Rodrigues Alves, Centro - 58428-795",Centro,2,1,,,,,
74,Praça Felix Araújo (Presídio do Monte Santo),https://goo.gl/maps/yTrdX2xEaF8yvHe17,"R. Quintino Bocaiúva, 71 - Palmeira - 58400-008",Palmeira,3,,,,,,
75,Plaza Shopping,https://goo.gl/maps/Ki4zPKbshsEBfWs6A,"Av. Paulo de Frontin, Empresarial Mundo Plaza, Centro - Estacao Velha - 58400-310",Centro,4,,,,,,
76,Maternidade / Pague Menos,https://goo.gl/maps/rKqSYUBegKQ1ex6P9,"R. João da Mata, Centro - 58400-245",Centro,3,1,,,,,
77,Praça Coronel Antônio Pessoa (UNESC),https://goo.gl/maps/CqNKyJN5YXJE1uj2A,"Praça Cel. Antônio Pessoa, Centro - 58400-270",Centro,2,,,,,,
78,Feirinha Central (PEXINXÃO),https://goo.gl/maps/wRrsXELet7sm5BZy6,R. Dep. José Taváres - Centro - 58400-187,Centro,2,,,,,,
79,Feira das Flores,https://goo.gl/maps/PaahqphCVyBnMKXi8,"R. Vila Nova da Rainha, Centro - 58400-220",Centro,2,,1,,,,
80,O Amigão 1,https://goo.gl/maps/YSZMSkBbDrv37C6L8,"R. Vig. Calixto, Sandra Cavalcante - 58410-600",Sandra Cavalcante,4,,,,,,
81,O Amigão 2,https://goo.gl/maps/bPGsZNhPDfnUwcEJA,"R. Vig. Calixto, Sandra Cavalcante - 58410-601",Sandra Cavalcante,3,,1,,,,
82,O Amigão 3,https://goo.gl/maps/AeyxTxVyoTXxDLe79,R. Vig. Calixto - Catolé - 58410-340,Catolé,2,1,,,,,
83,Rodoviária,https://goo.gl/maps/Y4ehKdymsLb5b5R17,R. Basílio Araújo - Sandra Cavalcante - 58410-637,Sandra Cavalcante,2,,,,,,
84,Rodoviária CG 1,https://goo.gl/maps/Rc6QD1YyvfbBeFYD7,"Rodoviária Nova, R. Otacílio Nepomuceno, Catolé - 58410-160",Catolé,2,,,,,,
85,Rodoviária CG 2,https://goo.gl/maps/Tw6E2eeaqcisvADg9,R. Profa. Eutécia Vital Ribeiro - Sandra Cavalcante - 58410-205,Catolé,3,,,,,,
86,Entrada Rodoviária,https://goo.gl/maps/SwLvXz6XnStdnPf59,"R. Otacílio Nepomuceno, Catolé - 58410-160",Catolé,2,,,,,,
87,Hemocentro,https://goo.gl/maps/fR8V7YGB6RuLqUmUA,Sandra Cavalcante - 58408,Sandra Cavalcante,2,1,,,,,
88,Carajás,https://goo.gl/maps/r1rvkVy6dib2KCX47,"Av. Jorn. Assis Chateaubriand, Liberdade - 58414-060",Liberdade,2,1,,,,,
89,Banco do Brasil Liberdade,https://goo.gl/maps/URKamKxL24UoDuzh8,"Av.Jorn - Av. Jorn. Assis Chateaubriand, Liberdade - 58414-060",Liberdade,3,1,,,,,
90,Feira da Liberdade,https://goo.gl/maps/bGA8wKQmEMu8NvLEA,"R. Pernambuco, Liberdade - 58414-085",Liberdade,2,,,,,,
91,Parque da Liberdade,https://goo.gl/maps/xZzeriLbMNSn5Y1n6,R. Getúlio Cavalcante - Liberdade - 58414-245,Liberdade,3,,,,,,
92,Parque da Liberdade,https://goo.gl/maps/ndLEy6yEjHjkgqHG6,R. Getúlio Cavalcante - Liberdade - 58414-245,Liberdade,4,,1,,,,
93,Parque da Liberdade,https://goo.gl/maps/mJfDrD59AU9n8MB8A,R. Getúlio Cavalcante - Liberdade - 58414-245,Liberdade,3,,,,,,
94,Parque da Liberdade,https://goo.gl/maps/Zu6GuRpyTofhMVz17,R. Getúlio Cavalcante - Liberdade - 58414-245,Liberdade,2,,,,,,
95,Parque da Liberdade,https://goo.gl/maps/oHzocmwTVVjxnBv4A,R. Getúlio Cavalcante - Liberdade - 58414-245,Liberdade,2,,,,,,
96,Feira da Prata 1,https://goo.gl/maps/bJ6vioFjpkw8UaNx6,"Avenida Dom Pedro II Prata, Zacarias - SP, 15265-000",Prata,2,1,,,,,
97,Feira da Prata 2,https://goo.gl/maps/Zr9S8muczPSbFbgMA,"Av. Barão Rio Branco, Prata - 58400-575",Prata,2,,,,,,
98,UFCG Faculdade,https://goo.gl/maps/eUSeLk8ovvDmQEmr7,"R. Aprígio Veloso, Universitário - 58428-830",Universitário,,,,,,,
99,Pracinha Do Conjunto Do Professores,https://goo.gl/maps/Vg4H1mFz4GDhZY5W7,"R. José Gonçalves de Melo, Universitário - 58429-110",Universitário,4,,1,,,,
100,Praça Jornalista Evandro Barros (BASE PEDREGAL),https://goo.gl/maps/VMVjzRpMWkSF22wh9,"R. Abel Costa, Universitário - 58428-231",Universitário,3,1,,,,,
101,Serra ville 1,https://goo.gl/maps/dTdwCSBMpoQs8Zv1A,"Av. Mal. Floriano Peixoto, Serrotão - 58434-500",Serrotão,,,,,,,
102,Serra Ville 2,https://goo.gl/maps/8NhMtCP1ebpVnvVa8,"Av. Mal. Floriano Peixoto, Serrotão - 58434-500",Serrotão,,,,,,,
103,Conjunto Aluísio Campos,https://goo.gl/maps/HuAMENPaK9ZM8PuV8,"R. Lourival Leopoldino de Oliveira, 58412-079",Ligeiro ,4,,,,,,
104,Conjunto Aluísio Campos,https://goo.gl/maps/xfeeDNDYwLegmjZu5,João - R. Severino da Silva - 58475-000,Ligeiro ,2,,,,,,
105,Conjunto Aluísio Campos,https://goo.gl/maps/RBYQVxXmMevr78Ms9,Av. Ronaldo José da Cunha Lima - 58475-000,Ligeiro ,2,1,,,,,
106,R. Três Irmãs,https://goo.gl/maps/amYHEtDuEP2h3ZyT8,R. Três Irmãs - Três Irmãs - 58423-370,Acácio Figueiredo,,,,,,,
107,Praça José Ferreira Neves (Praça do Rocha),https://goo.gl/maps/rBuMSP7W69ttp84f7,"R. Fernando de Noronha, s.n. - Três Irmãs - 58423-135",Rocha Cavalcante,2,,,,,,
108,Feira das Malvinas,https://goo.gl/maps/qyan1Th6LP3teCGu5,"R. Crato, Malvinas - 58433",Malvinas,2,,,,,,
109,SENAT,https://goo.gl/maps/q9P3zP8oKTjEjrkb7,"R. Francisco Lopes de Almeida, Malvinas - 58106-491",Malvinas,2,1,,,,,
110,Açude velho - 5asec Textile Expert,https://goo.gl/maps/vTiRemm2c3BCZLoh9,"R. Cazuza Barreto, Estação Velha Açude velho - 58410-012",Estação Velha,2,,1,,,,
111,Fórum CG,https://goo.gl/maps/6nFrG5RyukyiDmvd9,"R. Edgar Vilarim Meira, Estacao Velha - 58410-052",Estação Velha,4,,,,,,
112,Posto amigão,https://goo.gl/maps/vgDJfBV2WpmtcN4T8,Av. Jorn. Assis Chateaubriand - Estacao Velha - 58414-700,Estação Velha,3,1,,,,,
113,UniNassau,https://goo.gl/maps/KxUaQguVPzgGU65x8,"R. Ana de Azevedo, Palmeira - 58401-093",Palmeira,3,,,,,,
114,TV Paraíba,https://goo.gl/maps/zNHjWJW71HVLoQUA8,"R. Quinze de Novembro, Palmeira - 58401-213",Palmeira,2,1,,,,,
115,Escola Assis Chateaubriand,https://goo.gl/maps/JmFx9y8EffPYcU9g8,"R. Santo Antônio , Santo Antônio - 58406-025",Santo Antônio,2,1,,,,,
116,Inicio Avenida Juscelino Kubistchek,https://goo.gl/maps/BPWifBwDoKer17y77,"Av. Pres. Juscelino Kubitschek, 1220 - Cruzeiro - 58415-653",Cruzeiro,2,,,,,,
117,Rotatória do Presidente Medes,https://goo.gl/maps/4H8zjSvP4xyGvtXx7,Av. Pres. Juscelino Kubitschek - Pres. Medici - 58417-530,Pres. Medici,2,1,,,,,
118,Escola Sou De Jesus (CATINGUEIRA),https://goo.gl/maps/bMAwUquC2jWSezHGA,"R. João Amorim Guedes, Acácio Figueiredo - 58421-360",Acácio Figueiredo,2,1,,,,,
119,Praça Clementino Procópio,https://goo.gl/maps/Mkrc1WbFUkfBVdzg9,Av. Mal. Floriano Peixoto - Jardim Tavares - 58402-000,Jardim Tavares,4,,1,,,,
120,Feirinha do Jeremias,https://goo.gl/maps/cAcdKL83iorZTiHA6,"Rua Samuel Simões, bairro - Jeremias - 58400-745",Jeremias,4,,,,,,
121,Igreja Verbo da vida (PRAÇA JOZÉ PINHEIRO),https://goo.gl/maps/YLZKYMCEScoDgMRw8,"R. Marinheira Agra, José Pinheiro - 58407-400",José Pinheiro,2,,,,,,
122,Área Publica - Vila Olimpica,https://goo.gl/maps/vRZnboHybSybG6Bj8,Vila Olímpica Plínio Lemos - R. Gonçalves Dias - Santo Antônio - 58406-770,Santo Antônio,2,,1,,,,
123,Entrada de Pedestres - Vila Olímpica,https://goo.gl/maps/Mu1XWYhc7F7hjLW9A,Vila Olímpica Plínio Lemos - R. Gonçalves Dias - Santo Antônio - 58406-770,Santo Antônio,2,,,,,,
124,Entrada Veículos - Vila Olímpica,https://goo.gl/maps/RtB9sYcHRWPRKKVd9,Vila Olímpica Plínio Lemos - R. Gonçalves Dias - Santo Antônio - 58406-770,Santo Antônio,2,,,,,,